107	5 East West Mex Carr SoutAm eUrasia
	
Xanthisma_gracile_E467	W
Symphyotrichum_fendleri_E2600	EW
Eurybia_macrophylla_E2544	E
Sericocarpus_tortifolius_E469	E
Sericocarpus_asteroides_E431	E
Chrysopsis_mariana_E477	E
Pityopsis_graminifolia_E470	E
Heterotheca_latifolia_E482	E
Boltonia_diffusa_E481	E
Eurybia_furcata_E1078	E
Euthamia_graminifolia_E480	E
Bigelowia_nudata_E472	E
Erigeron_philadelphicus_E476	EW
Acamptopappus_sphaerocephalus_E468	W
Brintonia_discoidea_E478	E
Solidago_altissima_var_plurcephala_E479	EWM
Solidago_ptarmicoides_E433	EW
Doellingeria_sericocarpoides_E475	E
Ionactis_linariifolius_E428	E
Oreostemma_alpigenum_E1068	W
Symphyotrichum_eryngifolium_E1075	E
Symphyotrichum_hendersonii_E109	W
Eurybia_hemispherica_E474	E
Symphyotrichum_gypsophilum_E968	M
Almutaster_pauciflorus_E1085	WM
Symphyotrichum_chilense_E2577	W
Ampelaster_carolinianus_E132	E
Canadanthus_modestus_E133	W
Symphyotrichum_adnatum_E56	E
Symphyotrichum_concolor_E102	E
Symphyotrichum_turneri_E801	M
Symphyotrichum_moranense_E895	M
Symphyotrichum_purpurascens_E840	M
Symphyotrichum_bimater_E1090	M
Symphyotrichum_fendleri_E2604	EW
Symphyotrichum_amethystinum_E140	E
Symphyotrichum_novae-angliae_E87	E
Symphyotrichum_yukonense_E2633	W
Symphyotrichum_oblongifolium_E2296	EWM
Symphyotrichum_phlogifolium_E2331	E
Symphyotrichum_patens_var_patens_E42	E
Symphyotrichum_ericoides_E1058	EWM
Symphyotrichum_carnerosanum_E1171	M
Symphyotrichum_bahamense_E2013	EC
Symphyotrichum_tenuifolium_E225	EC
Symphyotrichum_shortii_E2447	E
Symphyotrichum_cordifolium_E2075	E
Symphyotrichum_lowrieanum_E2267	E
Symphyotrichum_anomalum_E1992	E
Symphyotrichum_eatonii_E2598	E
Symphyotrichum_robynsianum_E2648	E
Symphyotrichum_foliaceum_E2610	W
Symphyotrichum_foliaceum_var_parryi_E1079	W
Symphyotrichum_greatae_E2643	W
Symphyotrichum_subspicatum_E2627	W
Symphyotrichum_lateriflorum_E2252	E
Symphyotrichum_prenanthoides_E121	E
Symphyotrichum_lanceolatum_E2232	EW
Symphyotrichum_praealtum_E2358	EM
Symphyotrichum_simmondsii_E2462	E
Symphyotrichum_schaffneri_E873	M
Symphyotrichum_urophyllum_E2516	E
Symphyotrichum_dumosum_E151	E
Symphyotrichum_kralii_E2199	E
Symphyotrichum_expansum_E1029	EMC
Symphyotrichum_turbinellum_E2487	E
Symphyotrichum_retroflexum_E2434	E
Symphyotrichum_ciliatum_E2586	U
Symphyotrichum_vahlii_E793	S
Symphyotrichum_regnellii_E795	S
Symphyotrichum_frondosum_E2640	W
Symphyotrichum_laeve_E2203	EWM
Symphyotrichum_oolentagiense_E2309	EM
Symphyotrichum_elliotii_E2183	E
Symphyotrichum_puniceum_E2392	E
Symphyotrichum_spathulatum_var_spathulatum_E1082	WM
Symphyotrichum_molle_E2646	W
Symphyotrichum_cusickii_E2637	W
Symphyotrichum_pilosum_E199	E
Symphyotrichum_depauperatum_E2654	E
Symphyotrichum_jessicae_E2645	W
Symphyotrichum_vimineus_E128	E
Symphyotrichum_hintonii_E974	M
Symphyotrichum_subulatum_var_squamatum_E781	S
Symphyotrichum_falcatum_var_commutatum_E964	EWM
Symphyotrichum_pratense_E2365	E
Symphyotrichum_sericeum_E123	EC
Symphyotrichum_fontinale_E2543	E
Symphyotrichum_grandiflorum_E108	E
Symphyotrichum_walteri_E2534	E
Symphyotrichum_georgianum_E78	E
Symphyotrichum_novi-belgii_E113	E
Symphyotrichum_rhiannon_E2655	E
Symphyotrichum_ciliolatum_E2589	E
Symphyotrichum_undulatum_E2493	E
Symphyotrichum_concinnus_E130	E
Symphyotrichum_drummondii_var_texanum_E2116	EM
Symphyotrichum_hallii_E2644	W
Symphyotrichum_lentum_E2647	W
Symphyotrichum_ontarione_E192	E
Symphyotrichum_racemosum_E2412	E
Symphyotrichum_tradescantii_E231	E
Symphyotrichum_parviceps_E2635	E
Symphyotrichum_priceae_E2549	E
Symphyotrichum_defoliatum_E2638	W
Symphyotrichum_adscendens_E2561	W
Symphyotrichum_chapmanii_E2027	E